lsoa code,postcode,lsoa name,msoa code,msoa name,ward code,ccg code,local authority code,lsoa 2001 code,lsoa 2011 code,msoa 2001 code,msoa 2011 code
S01006526,AB10 7ER,Garthdee - 01,S02001239,Garthdee,S13002845,012,S12000033,S01000039,S01006526,S02000008,S02001239
S01006526,AB10 7ES,Garthdee - 01,S02001239,Garthdee,S13002845,012,S12000033,S01000039,S01006526,S02000008,S02001239
S01006526,AB10 7ET,Garthdee - 01,S02001239,Garthdee,S13002845,012,S12000033,S01000039,S01006526,S02000008,S02001239
S01006526,AB10 7EU,Garthdee - 01,S02001239,Garthdee,S13002845,012,S12000033,S01000039,S01006526,S02000008,S02001239
S01006526,AB10 7EW,Garthdee - 01,S02001239,Garthdee,S13002845,012,S12000033,S01000039,S01006526,S02000008,S02001239
S01006526,AB10 7EX,Garthdee - 01,S02001239,Garthdee,S13002845,012,S12000033,S01000039,S01006526,S02000008,S02001239
S01006526,AB10 7EY,Garthdee - 01,S02001239,Garthdee,S13002845,012,S12000033,S01000039,S01006526,S02000008,S02001239
S01006526,AB10 7EZ,Garthdee - 01,S02001239,Garthdee,S13002845,012,S12000033,S01000039,S01006526,S02000008,S02001239
S01006530,AB10 7FA,Garthdee - 05,S02001239,Garthdee,S13002845,012,S12000033,S01000042,S01006530,S02000008,S02001239
S01006540,AB10 7FB,"Braeside, Mannofield, Broomhill and Seafield South - 04",S02001241,"Braeside, Mannofield, Broomhill and Seafield South",S13002845,012,S12000033,S01000048,S01006540,S02000009,S02001241
S01006539,AB10 7FD,"Braeside, Mannofield, Broomhill and Seafield South - 03",S02001241,"Braeside, Mannofield, Broomhill and Seafield South",S13002845,012,S12000033,S01000049,S01006539,S02000009,S02001241
S01006539,AB10 7FE,"Braeside, Mannofield, Broomhill and Seafield South - 03",S02001241,"Braeside, Mannofield, Broomhill and Seafield South",S13002845,012,S12000033,S01000049,S01006539,S02000009,S02001241
S01006600,AB10 7FF,Ferryhill South - 03,S02001252,Ferryhill South,S13002846,012,S12000033,S01000053,S01006600,S02000010,S02001252
S01006600,AB10 7FG,Ferryhill South - 03,S02001252,Ferryhill South,S13002846,012,S12000033,S01000053,S01006600,S02000010,S02001252
S01006530,AB10 7FH,Garthdee - 05,S02001239,Garthdee,S13002845,012,S12000033,S01000042,S01006530,S02000008,S02001239
S01006533,AB10 7FJ,"Braeside, Mannofield, Broomhill and Seafield East - 02",S02001240,"Braeside, Mannofield, Broomhill and Seafield East",S13002845,012,S12000033,S01000058,S01006533,S02000011,S02001240
S01006594,AB10 7FL,Ferryhill North - 04,S02001251,Ferryhill North,S13002846,012,S12000033,S01000075,S01006594,S02000016,S02001251
S01006594,AB10 7FN,Ferryhill North - 04,S02001251,Ferryhill North,S13002846,012,S12000033,S01000075,S01006594,S02000016,S02001251
S01006601,AB10 7FP,Ferryhill South - 04,S02001252,Ferryhill South,S13002846,012,S12000033,S01000065,S01006601,S02000010,S02001252
S01006601,AB10 7FQ,Ferryhill South - 04,S02001252,Ferryhill South,S13002846,012,S12000033,S01000065,S01006601,S02000010,S02001252
S01006601,AB10 7FR,Ferryhill South - 04,S02001252,Ferryhill South,S13002846,012,S12000033,S01000065,S01006601,S02000010,S02001252
S01006526,AB10 7FS,Garthdee - 01,S02001239,Garthdee,S13002845,012,S12000033,S01000039,S01006526,S02000008,S02001239
S01006526,AB10 7FT,Garthdee - 01,S02001239,Garthdee,S13002845,012,S12000033,S01000039,S01006526,S02000008,S02001239
S01006527,AB10 7FU,Garthdee - 02,S02001239,Garthdee,S13002845,012,S12000033,S01000036,S01006527,S02000008,S02001239
S01006533,AB10 7FW,"Braeside, Mannofield, Broomhill and Seafield East - 02",S02001240,"Braeside, Mannofield, Broomhill and Seafield East",S13002845,012,S12000033,S01000058,S01006533,S02000011,S02001240
S01006533,AB10 7FX,"Braeside, Mannofield, Broomhill and Seafield East - 02",S02001240,"Braeside, Mannofield, Broomhill and Seafield East",S13002845,012,S12000033,S01000058,S01006533,S02000011,S02001240
S01006528,AB10 7FY,Garthdee - 03,S02001239,Garthdee,S13002845,012,S12000033,S01000034,S01006528,S02000004,S02001239
S01006535,AB10 7FZ,"Braeside, Mannofield, Broomhill and Seafield East - 04",S02001240,"Braeside, Mannofield, Broomhill and Seafield East",S13002845,012,S12000033,S01000062,S01006535,S02000011,S02001240
S01006529,AB10 7GA,Garthdee - 04,S02001239,Garthdee,S13002845,012,S12000033,S01000043,S01006529,S02000008,S02001239
S01006599,AB10 7GB,Ferryhill South - 02,S02001252,Ferryhill South,S13002845,012,S12000033,S01000047,S01006599,S02000010,S02001252
S01006528,AB10 7GD,Garthdee - 03,S02001239,Garthdee,S13002845,012,S12000033,S01000035,S01006528,S02000008,S02001239
S01006528,AB10 7GE,Garthdee - 03,S02001239,Garthdee,S13002845,012,S12000033,S01000035,S01006528,S02000008,S02001239
S01006527,AB10 7GF,Garthdee - 02,S02001239,Garthdee,S13002845,012,S12000033,S01000036,S01006527,S02000008,S02001239
